tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Australian Open,Australian Open,Raonic,Wawrinka,Daniel,Kokkinakis,R64,,1st Round,,3.8,1.28,,
Australian Open,Australian Open,Hugues,Chung,Pouille,Kukushkin,R64,,1st Round,,1.6,2.37,,
Australian Open,Australian Open,Bolt,Simon,Copil,Granollers,R64,,1st Round,,1.62,2.33,,
Australian Open,Australian Open,Zverev,Chardy,Kohlschreiber,Li,R64,,1st Round,,1.04,11.78,,
Australian Open,Australian Open,Nishikori,Karlovic,Tsonga,Klizan,R64,,1st Round,,1.3,3.64,,
Australian Open,Australian Open,Sousa,Kohlschreiber,Chardy,Humbert,R64,,1st Round,,1.59,2.39,,
Australian Open,Australian Open,Carreno,Ivashka,Krajinovic,Cecchinato,R64,,1st Round,,1.64,2.29,,
Australian Open,Australian Open,Fognini,Mayer,Popyrin,Zverev,R64,,1st Round,,1.44,2.82,,
Australian Open,Australian Open,Medvedev,Harrison,Wawrinka,Gulbis,R64,,1st Round,,1.25,4.1,,
Australian Open,Australian Open,Goffin,Copil,Marterer,Sakharov,R64,,1st Round,,1.31,3.53,,
Australian Open,Australian Open,Shapovalov,Daniel,Djokovic,Krueger,R64,,1st Round,,1.01,21.57,,
Australian Open,Australian Open,Djokovic,Tsonga,Raonic,Kyrgios,R64,,1st Round,,1.77,2.07,,
Australian Open,Australian Open,Nadal,Duckworth,Thiem,Paire,R128,,1st Round,,1.29,3.68,,
Australian Open,Australian Open,Ebden,Lennard,Schwartzman,Kudla,R128,,2nd Round,,1.19,4.84,,
Australian Open,Australian Open,Laaksonen,Basic,Basilashvili,Travaglia,R128,,2nd Round,,1.29,3.69,,
Australian Open,Australian Open,De,Sousa,Tsitsipas,Troicki,R128,,2nd Round,,1.12,6.45,,
Australian Open,Australian Open,Schwartzman,Molleker,Seppi,Thompson,R128,,2nd Round,,1.69,2.19,,
Australian Open,Australian Open,Kudla,Polmans,Berdych,Haase,R128,,2nd Round,,1.11,6.68,,
Australian Open,Australian Open,Haase,Garcia,Cilic,Mcdonald,R128,,2nd Round,,1.1,7.45,,
Australian Open,Australian Open,Berdych,Edmund,Tiafoe,Anderson,R128,,2nd Round,,4.98,1.18,,
Australian Open,Australian Open,Opelka,Isner,Verdasco,Albot,R128,,2nd Round,,1.22,4.41,,
Australian Open,Australian Open,Fabbiano,Kubler,Federer,Evans,R128,,2nd Round,,1.02,15.48,,
